Date,Voucher Type,Voucher Number,Account Code,Account Name,Parent Group,Group Path,Debit,Credit,Description
28/06/2025,Payment,AUTO-20260218-0020,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,2000.00,Expense Voucher: EV-CR-20250628-1878 - Ramesh M
30/06/2025,Payment,AUTO-20260218-0022,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250630-1509 - Santosh M
30/06/2025,Payment,AUTO-20260218-0022,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250630-1509 - Santosh M
30/06/2025,Payment,AUTO-20260218-0023,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,100.00,,Expense Voucher: EV-CR-20250630-7267 - Santosh M
30/06/2025,Payment,AUTO-20260218-0023,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,100.00,Expense Voucher: EV-CR-20250630-7267 - Santosh M
30/06/2025,Payment,AUTO-20260218-0024,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,350.00,,Expense Voucher: EV-CR-20250630-8603 - Hari P
30/06/2025,Payment,AUTO-20260218-0024,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,350.00,Expense Voucher: EV-CR-20250630-8603 - Hari P
01/07/2025,Payment,AUTO-20260218-0026,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,8850.00,,Expense Voucher: EV-CR-20250701-8326 - SV LABS
01/07/2025,Payment,AUTO-20260218-0026,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,8850.00,Expense Voucher: EV-CR-20250701-8326 - SV LABS
01/07/2025,Payment,AUTO-20260218-0027,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,700.00,,Expense Voucher: EV-CR-20250701-6853 - Rapido
01/07/2025,Payment,AUTO-20260218-0027,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,700.00,Expense Voucher: EV-CR-20250701-6853 - Rapido
01/07/2025,Payment,AUTO-20260218-0028,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,300.00,,Expense Voucher: EV-CR-20250701-6059 - Tulasi Ram Sai
01/07/2025,Payment,AUTO-20260218-0028,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,300.00,Expense Voucher: EV-CR-20250701-6059 - Tulasi Ram Sai
02/07/2025,Payment,AUTO-20260218-0031,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250702-2936 - Hari
02/07/2025,Payment,AUTO-20260218-0031,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250702-2936 - Hari
02/07/2025,Payment,AUTO-20260218-0032,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,1120.00,,Expense Voucher: EV-CR-20250702-4106 - Hari
02/07/2025,Payment,AUTO-20260218-0032,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,1120.00,Expense Voucher: EV-CR-20250702-4106 - Hari
02/07/2025,Payment,AUTO-20260218-0033,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,200.00,,Expense Voucher: EV-CR-20250702-3408 - Hari
02/07/2025,Payment,AUTO-20260218-0033,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,200.00,Expense Voucher: EV-CR-20250702-3408 - Hari
02/07/2025,Payment,AUTO-20260218-0034,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,600.00,,"Expense Voucher: EV-CR-20250702-8106 - Manekyam,Suribabu,Rambabu,Nukaraju"
02/07/2025,Payment,AUTO-20260218-0034,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,600.00,"Expense Voucher: EV-CR-20250702-8106 - Manekyam,Suribabu,Rambabu,Nukaraju"
02/07/2025,Payment,AUTO-20260218-0035,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,900.00,,Expense Voucher: EV-CR-20250702-6044 - Ramesh
02/07/2025,Payment,AUTO-20260218-0035,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,900.00,Expense Voucher: EV-CR-20250702-6044 - Ramesh
03/07/2025,Payment,AUTO-20260218-0037,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250703-0225 - Ramesh
03/07/2025,Payment,AUTO-20260218-0037,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250703-0225 - Ramesh
03/07/2025,Payment,AUTO-20260218-0038,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,4080.00,,"Expense Voucher: EV-CR-20250703-1485 - Ramu,Nukaraju,Apparao,Suribabu"
